latitude (deg),longitude (deg),approx-address
51.55287176,-0.254981998,"Book Centre Mansions, N Circular Rd., London NW10 0JD, UK"
51.55275971,-0.255327545,"392-390 A406, London NW10, UK"
51.55285001,-0.255307037,"392-390 A406, London NW10, UK"
51.55291026,-0.255109715,"Book Centre Mansions, N Circular Rd., London NW10 0JD, UK"
51.59731696,-0.179295316,"280 Long Ln, London N3 2RN, UK"
51.59747747,-0.179054039,"Long Lane North Circular Rd, London N2 8HS, UK"
51.59179467,0.045064805,"4 Southend Rd, Woodford, Woodford Green IG8 8HD, UK"
51.59169625,0.045418099,"214 Southend Rd, Woodford, Woodford Green IG8 8QH, UK"
51.59159761,0.045722742,"224 Southend Rd, Woodford, Woodford Green IG8 8QH, UK"
51.59148549,0.046006248,"6 Southend Rd, Woodford, Woodford Green IG8 8HD, UK"
51.52540474,0.16926125,"49 New Rd, Rainham RM13 8DY, UK"
51.52544296,0.168826332,"South Street (Stop ME), Rainham RM13 8SF, UK"
51.52544296,0.168826332,"South Street (Stop ME), Rainham RM13 8SF, UK"
51.52544296,0.168826332,"South Street (Stop ME), Rainham RM13 8SF, UK"
51.52544296,0.168826332,"South Street (Stop ME), Rainham RM13 8SF, UK"
51.52544296,0.168826332,"South Street (Stop ME), Rainham RM13 8SF, UK"
51.52544296,0.168826332,"South Street (Stop ME), Rainham RM13 8SF, UK"
51.52544296,0.168826332,"South Street (Stop ME), Rainham RM13 8SF, UK"
51.52577415,0.16773336,"2 South St, Rainham RM13 8PJ, UK"
51.5258296,0.167510018,"2 South St, Rainham RM13 8PJ, UK"
51.52587924,0.167287719,"South Street (Stop MF), Rainham RM13 8DJ, UK"
51.52592314,0.16701758,"South Street (Stop MF), Rainham RM13 8DJ, UK"
51.56544079,0.145024807,"149 Whalebone Ln S, Dagenham RM8 1AT, UK"
51.56542884,0.145068432,"149 Whalebone Ln S, Dagenham RM8 1AT, UK"
51.56544838,0.145111746,"149 Whalebone Ln S, Dagenham RM8 1AT, UK"
51.5654594,0.14516049,"149 Whalebone Ln S, Dagenham RM8 1AT, UK"
51.56545637,0.145206255,"149 Whalebone Ln S, Dagenham RM8 1AT, UK"
51.56546284,0.145247831,"149 Whalebone Ln S, Dagenham RM8 1AT, UK"
51.56546716,0.145438442,"125 Whalebone Ln S, Dagenham RM8 1AT, UK"
51.56544307,0.145477392,"125 Whalebone Ln S, Dagenham RM8 1AT, UK"
51.56540834,0.145513479,"125 Whalebone Ln S, Dagenham RM8 1AT, UK"
51.56537656,0.145539487,"125 Whalebone Ln S, Dagenham RM8 1AT, UK"
51.56556768,0.144809125,"149 Whalebone Ln S, Dagenham RM8 1AT, UK"
51.56561944,0.144881345,"149 Whalebone Ln S, Dagenham RM8 1AT, UK"
51.56563133,0.144976682,"149 Whalebone Ln S, Dagenham RM8 1AT, UK"
51.56565972,0.14508496,"125 Whalebone Ln S, Dagenham RM8 1AT, UK"
51.56567823,0.145176153,"125 Whalebone Ln S, Dagenham RM8 1AT, UK"
51.56570303,0.145265496,"McDonald's, 149 Whalebone Ln S, Dagenham RM8 1AT, UK"
51.56571051,0.145332016,"McDonald's, 149 Whalebone Ln S, Dagenham RM8 1AT, UK"
51.56573256,0.1453986,"McDonald's, 149 Whalebone Ln S, Dagenham RM8 1AT, UK"
51.56994657,0.126939983,"4 Birchdale Gardens, Romford RM6 4DT, UK"
51.57000596,0.127186506,"4 Birchdale Gardens, Romford RM6 4DT, UK"
51.57007143,0.127420543,"1060 High Rd, Romford RM6 4BB, UK"
51.57197492,0.138829469,"The Pinnacle, 156-162 High Rd, Dagenham, Romford RM6 6PN, UK"
51.57196409,0.138699145,"154 High Rd, Dagenham, Romford RM6 6NT, UK"
51.56999141,0.127017506,"4 Birchdale Gardens, Romford RM6 4DT, UK"
51.57004623,0.127263056,"Chadwell Arms, 1149 High Rd, Romford RM6 4AT, UK"
51.57013472,0.127475534,"1060 High Rd, Romford RM6 4BB, UK"
51.56569626,0.145747875,"126 Whalebone Ln S, Dagenham RM8 1BA, UK"
51.56558842,0.145781366,"126 Whalebone Ln S, Dagenham RM8 1BA, UK"
51.56524553,0.145896832,"110 Whalebone Ln S, Dagenham RM8 1BA, UK"
51.56512912,0.145943254,"104 Whalebone Ln S, Dagenham RM8 1BA, UK"
51.55695932,0.188916292,"235 Upper Rainham Rd, Hornchurch RM12 4EY, UK"
51.55684267,0.188993658,"235 Upper Rainham Rd, Hornchurch RM12 4EY, UK"
51.53833215,0.165577393,"12 Baynes Cres, Dagenham RM10 9AF, UK"
51.53835456,0.165443565,"Church Lane (Stop U), Dagenham RM10 9AF, UK"
51.60078688,-0.016979451,"Crooked Billet, London E17 5AQ, UK"
51.60090957,-0.017068662,"Crooked Billet, London E4 8SP, UK"
51.63310083,-0.013460291,"120 Mansfield Hill, London E4 7JS, UK"
51.63291471,-0.01348299,"Maida Avenue (Stop J), London E4 7JS, UK"
51.63280166,-0.013528372,"Maida Avenue (Stop J), London E4 7JS, UK"
51.632689,-0.013557785,"101 College Gardens, London E4 7JT, UK"
51.57002432,0.127146537,"4 Birchdale Gardens, Romford RM6 4DT, UK"
51.57008745,0.127415062,"1060 High Rd, Romford RM6 4BB, UK"
51.60068083,-0.016905246,"JX2M+76 London, UK"
51.60073655,-0.016939281,"Crooked Billet, London E17 5AQ, UK"
51.5770826,0.121902837,"222 Chadwell Heath Ln, Romford RM6 4YL, UK"
51.57698406,0.121967238,"Grove Road Little Heath, Romford RM6 4XH, UK"
51.568518,0.118224107,"2, 895 High Rd, Romford RM6 4HL, UK"
51.56887053,0.117903237,"Trafalgar House, 891 High Rd, Romford RM6 4HR, UK"
51.56921576,0.117867509,"30 Chadwell Ave, Romford RM6 4QH, UK"
51.56922984,0.117856372,"34a Chadwell Ave, Romford RM6 4QH, UK"
51.56920842,0.11782518,"30 Chadwell Ave, Romford RM6 4QH, UK"
51.56999472,0.126908117,"1145 High Rd, Romford RM6 4AT, UK"
51.57003586,0.127068845,"Chadwell Arms, 1149 High Rd, Romford RM6 4AT, UK"
51.5655476,0.145797412,"126 Whalebone Ln S, Dagenham RM8 1BA, UK"
51.56151092,0.147899381,"Meadway Court, Whalebone Ln S, Dagenham RM8 1AD, UK"
51.56150639,0.147903391,"Meadway Court, Whalebone Ln S, Dagenham RM8 1AD, UK"
51.56150359,0.147907283,"Meadway Court, Whalebone Ln S, Dagenham RM8 1AD, UK"
51.56150215,0.147908921,"Meadway Court, Whalebone Ln S, Dagenham RM8 1AD, UK"
51.56150143,0.147908465,"Meadway Court, Whalebone Ln S, Dagenham RM8 1AD, UK"
51.5615052,0.147902937,"Meadway Court, Whalebone Ln S, Dagenham RM8 1AD, UK"
51.56150282,0.147905041,"Meadway Court, Whalebone Ln S, Dagenham RM8 1AD, UK"
51.56150196,0.147907311,"Meadway Court, Whalebone Ln S, Dagenham RM8 1AD, UK"
51.56150166,0.14790713,"Meadway Court, Whalebone Ln S, Dagenham RM8 1AD, UK"
51.56150075,0.14790825,"Meadway Court, Whalebone Ln S, Dagenham RM8 1AD, UK"
51.561502,0.14790859,"Meadway Court, Whalebone Ln S, Dagenham RM8 1AD, UK"
51.56149628,0.1479122,"Meadway Court, Whalebone Ln S, Dagenham RM8 1AD, UK"
51.56149318,0.147915447,"Meadway Court, Whalebone Ln S, Dagenham RM8 1AD, UK"
51.56148802,0.147920355,"Meadway Court, Whalebone Ln S, Dagenham RM8 1AD, UK"
51.56148634,0.147920533,"Meadway Court, Whalebone Ln S, Dagenham RM8 1AD, UK"
51.56148806,0.147918897,"Meadway Court, Whalebone Ln S, Dagenham RM8 1AD, UK"
51.5614905,0.147916826,"Meadway Court, Whalebone Ln S, Dagenham RM8 1AD, UK"
51.56148983,0.147917033,"Meadway Court, Whalebone Ln S, Dagenham RM8 1AD, UK"
51.56340917,0.067496121,"182b Cranbrook Rd, Cranbrook, Ilford IG1 4LX, UK"
51.56333433,0.06754228,"Wycliffe House, 245-247 Cranbrook Rd, Cranbrook, Ilford IG1 4TD, UK"
51.56325825,0.067582222,"219 Cranbrook Rd, Cranbrook, Ilford IG1 4TD, UK"
51.56318935,0.067654509,"219 Cranbrook Rd, Cranbrook, Ilford IG1 4TD, UK"
51.56311239,0.067702875,"178 Cranbrook Rd, Cranbrook, Ilford IG1 4LX, UK"
51.56301942,0.067724438,"Coventry Road (Stop VJ), Cranbrook, Ilford IG1 4LX, UK"
51.56295365,0.067743576,"170A Cranbrook Rd, Cranbrook, Ilford IG1 4LX, UK"
51.56292145,0.067806853,"168 Cranbrook Rd, Cranbrook, Ilford IG1 4LX, UK"
51.56278039,0.067897592,"162 Cranbrook Rd, Cranbrook, Ilford IG1 4PE, UK"
51.56277297,0.067955682,"162 Cranbrook Rd, Cranbrook, Ilford IG1 4PE, UK"
51.56179354,0.086807355,"Ilford County Court, Ilford IG1 1TX, UK"
51.56178853,0.087001095,"Ilford County Court, Ilford IG1 1TX, UK"
51.56185624,0.087202141,"461B High Rd, Ilford IG1 1TX, UK"
51.56188861,0.087350185,"461B High Rd, Ilford IG1 1TX, UK"
51.56190118,0.087518222,"463 High Rd, Ilford IG1 1TX, UK"
51.56193192,0.087674753,"463 High Rd, Ilford IG1 1TX, UK"
51.56631281,0.108329565,"811A High Rd, Ilford IG3 8TD, UK"
51.56631557,0.108345136,"811A High Rd, Ilford IG3 8TD, UK"
51.56632161,0.108367592,"811A High Rd, Ilford IG3 8TD, UK"
51.56632539,0.108390249,"811A High Rd, Ilford IG3 8TD, UK"
51.56633438,0.108458853,"811 High Rd, Ilford IG3 8TD, UK"
51.56633784,0.108494313,"762 High Rd, Ilford IG3 8SY, UK"
51.56999295,0.126972281,"4 Birchdale Gardens, Romford RM6 4DT, UK"
51.57002538,0.127112449,"4 Birchdale Gardens, Romford RM6 4DT, UK"
51.57005057,0.127241095,"Chadwell Arms, 1149 High Rd, Romford RM6 4AT, UK"
51.5700825,0.127384747,"Chadwell Arms, 1149 High Rd, Romford RM6 4AT, UK"
51.57644321,0.17693459,"20-28 London Rd, Romford RM7 9RB, UK"
51.57651737,0.176956657,"20-28 London Rd, Romford RM7 9RB, UK"
51.57658914,0.17699571,"5 Yew Tree Gardens, Romford RM7 9AA, UK"
51.57663339,0.17711014,"H5GG+MR Romford, UK"
51.58204712,0.120811134,"86 Freshwell Ave, Romford RM6 5DR, UK"
51.58203047,0.120808397,"86 Freshwell Ave, Romford RM6 5DR, UK"
51.58203176,0.120807852,"86 Freshwell Ave, Romford RM6 5DR, UK"
51.58203561,0.120806814,"86 Freshwell Ave, Romford RM6 5DR, UK"
51.58202287,0.120810629,"86 Freshwell Ave, Romford RM6 5DR, UK"
51.58202508,0.120809643,"86 Freshwell Ave, Romford RM6 5DR, UK"
51.58204091,0.120803077,"86 Freshwell Ave, Romford RM6 5DR, UK"
51.58205447,0.120800767,"86 Freshwell Ave, Romford RM6 5DR, UK"
51.58204861,0.120800094,"86 Freshwell Ave, Romford RM6 5DR, UK"
51.58203753,0.120800843,"86 Freshwell Ave, Romford RM6 5DR, UK"
51.57011966,0.126986847,"1145 High Rd, Romford RM6 4AT, UK"
51.57019116,0.127269367,"1149a High Rd, Romford RM6 4AT, UK"
51.57666728,0.176968508,"20 Yew Tree Gardens, Romford RM7 9AA, UK"
51.57686918,0.177037652,"Mawney Road, Romford, UK"
51.57511618,0.08362428,"1 Perrymans Farm Rd, Ilford IG2 7LB, UK"
51.57520127,0.083630177,"1 Perrymans Farm Rd, Ilford IG2 7LB, UK"
51.57551795,0.083588919,"Perrymans Farm Road (Stop NN), Ilford IG2 6BN, UK"
51.57562643,0.083574508,"25 Horns Rd, Ilford IG2 6BN, UK"
51.57576224,0.083560936,"25 Horns Rd, Ilford IG2 6BN, UK"
51.57591447,0.08354547,"67 Horns Rd, Ilford IG2 6BN, UK"
51.51732557,0.033824026,"24 Tollgate Rd, London E16 3LA, UK"
51.51728922,0.033468134,"12 Tollgate Rd, London E16 3LA, UK"
51.51723906,0.03318877,"2 Tollgate Rd, London E16 3LA, UK"
51.51715471,0.032601529,"384 A13, London E13 8PF, UK"
51.51715471,0.032601529,"384 A13, London E13 8PF, UK"
51.51715471,0.032601529,"384 A13, London E13 8PF, UK"
51.51715471,0.032601529,"384 A13, London E13 8PF, UK"
51.51715471,0.032601529,"384 A13, London E13 8PF, UK"
51.51715471,0.032601529,"384 A13, London E13 8PF, UK"
51.51715471,0.032601529,"384 A13, London E13 8PF, UK"
51.51715471,0.032601529,"384 A13, London E13 8PF, UK"
51.51715471,0.032601529,"384 A13, London E13 8PF, UK"
51.50275186,0.044107748,"Constance Street (Stop D), London E16 2AE, UK"
51.50271677,0.044257255,"Constance Street (Stop D), London E16 2AE, UK"
51.6007088,-0.01684444,"JX2M+77 London, UK"
51.60075164,-0.016914339,"Crooked Billet, London E17 5AQ, UK"
51.60079242,-0.016960364,"Crooked Billet, London E17 5AQ, UK"
51.60081021,-0.016995605,"Crooked Billet, London E17 5AQ, UK"
51.60080499,-0.017004041,"Crooked Billet, London E17 5AQ, UK"
51.60080948,-0.017005511,"Crooked Billet, London E17 5AQ, UK"
51.52448114,0.175314687,"135 New Rd, Rainham RM13 8ES, UK"
51.52448088,0.175315404,"135 New Rd, Rainham RM13 8ES, UK"
51.52448088,0.175315319,"135 New Rd, Rainham RM13 8ES, UK"
51.52448059,0.175316315,"135 New Rd, Rainham RM13 8ES, UK"
51.52448009,0.175316148,"135 New Rd, Rainham RM13 8ES, UK"
51.5244803,0.175316467,"135 New Rd, Rainham RM13 8ES, UK"
51.52448103,0.175316203,"135 New Rd, Rainham RM13 8ES, UK"
51.52448207,0.17531508,"135 New Rd, Rainham RM13 8ES, UK"
51.5409852,0.081237572,"63 Glenny Rd, Barking IG11 8QR, UK"
51.54093983,0.081434128,"16 Bateman Cl, Barking IG11 8QR, UK"
51.54090099,0.081619646,"81 A124, Barking IG11 8QB, UK"
51.54092173,0.081800672,"81 A124, Barking IG11 8QB, UK"
51.56961989,0.119270924,"30 Grove Rd, Romford RM6 4AQ, UK"
51.56961989,0.119270924,"30 Grove Rd, Romford RM6 4AQ, UK"
